2024-05-20 17:34:17,909 [Emulator] Closing data memory file
2024-05-20 17:35:18,159 [Emulator] Closing data memory file
2024-05-20 17:37:07,143 [Emulator] Closing data memory file
[2024-05-20 17:37:22,769|rv_pipelined.py|__del__|13]:[Emulator] Closing data memory file
[2024-05-20 17:38:18,846][__del__@rv_pipelined.py:13] [Emulator] Closing data memory file
[2024-05-20 17:39:51,834][_main @main.py:35] [Emulator] Starting RISC-V Pipelined CPU simulator
[2024-05-20 17:39:54,205][__del__ @rv_pipelined.py:13] [Emulator] Closing data memory file
[2024-05-20 17:40:34,091][_main @main.py:34] [Emulator] Starting RISC-V Pipelined CPU simulator
[2024-05-20 17:40:35,987][__del__ @rv_pipelined.py:13] [Emulator] Closing data memory file
[2024-05-20 21:21:26,039][_main @main.py:34] [Emulator] Starting RISC-V Pipelined CPU simulator
[2024-05-20 21:21:29,270][load_program @rv_pipelined.py:31] [Emulator] Loading memory from C:/Users/victo/Documents/GitRepos/rv-emulator/test/teste1.txt
[2024-05-20 21:21:29,271][load_program @rv_pipelined.py:43] [Emulator] Loaded 12 instructions
[2024-05-20 21:21:29,271][cycle @rv_pipelined.py:63] [Emulator] Cycle 1
[2024-05-20 21:21:29,271][cycle @rv_pipelined.py:63] [Emulator] Cycle 2
[2024-05-20 21:21:29,272][cycle @rv_pipelined.py:63] [Emulator] Cycle 3
[2024-05-20 21:21:29,272][cycle @rv_pipelined.py:63] [Emulator] Cycle 4
[2024-05-20 21:21:29,272][cycle @rv_pipelined.py:63] [Emulator] Cycle 5
[2024-05-20 21:21:29,272][cycle @rv_pipelined.py:63] [Emulator] Cycle 6
[2024-05-20 21:21:29,272][cycle @rv_pipelined.py:63] [Emulator] Cycle 7
[2024-05-20 21:21:29,272][cycle @rv_pipelined.py:63] [Emulator] Cycle 8
[2024-05-20 21:21:29,273][cycle @rv_pipelined.py:63] [Emulator] Cycle 9
[2024-05-20 21:21:29,273][cycle @rv_pipelined.py:63] [Emulator] Cycle 10
[2024-05-20 21:21:29,273][cycle @rv_pipelined.py:63] [Emulator] Cycle 11
[2024-05-20 21:21:29,273][cycle @rv_pipelined.py:63] [Emulator] Cycle 12
[2024-05-20 21:21:29,273][cycle @rv_pipelined.py:63] [Emulator] Cycle 13
[2024-05-20 21:21:29,273][cycle @rv_pipelined.py:63] [Emulator] Cycle 14
[2024-05-20 21:21:29,274][cycle @rv_pipelined.py:63] [Emulator] Cycle 15
[2024-05-20 21:21:29,274][cycle @rv_pipelined.py:63] [Emulator] Cycle 16
[2024-05-20 21:21:29,274][cycle @rv_pipelined.py:63] [Emulator] Cycle 17
[2024-05-20 21:21:29,274][cycle @rv_pipelined.py:63] [Emulator] Cycle 18
[2024-05-20 21:21:29,274][cycle @rv_pipelined.py:63] [Emulator] Cycle 19
[2024-05-20 21:21:29,274][cycle @rv_pipelined.py:63] [Emulator] Cycle 20
[2024-05-20 21:21:29,274][cycle @rv_pipelined.py:63] [Emulator] Cycle 21
[2024-05-20 21:21:29,275][cycle @rv_pipelined.py:63] [Emulator] Cycle 22
[2024-05-20 21:21:29,275][cycle @rv_pipelined.py:63] [Emulator] Cycle 23
[2024-05-20 21:21:29,275][cycle @rv_pipelined.py:63] [Emulator] Cycle 24
[2024-05-20 21:21:29,275][cycle @rv_pipelined.py:63] [Emulator] Cycle 25
[2024-05-20 21:21:29,275][cycle @rv_pipelined.py:63] [Emulator] Cycle 26
[2024-05-20 21:21:29,275][cycle @rv_pipelined.py:63] [Emulator] Cycle 27
[2024-05-20 21:21:29,275][cycle @rv_pipelined.py:63] [Emulator] Cycle 28
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 29
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 30
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 31
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 32
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 33
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 34
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 35
[2024-05-20 21:21:29,276][cycle @rv_pipelined.py:63] [Emulator] Cycle 36
[2024-05-20 21:21:29,277][cycle @rv_pipelined.py:63] [Emulator] Cycle 37
[2024-05-20 21:21:29,277][cycle @rv_pipelined.py:63] [Emulator] Cycle 38
[2024-05-20 21:21:29,277][cycle @rv_pipelined.py:63] [Emulator] Cycle 39
[2024-05-20 21:21:29,278][cycle @rv_pipelined.py:63] [Emulator] Cycle 40
[2024-05-20 21:21:29,278][cycle @rv_pipelined.py:63] [Emulator] Cycle 41
[2024-05-20 21:21:29,278][cycle @rv_pipelined.py:63] [Emulator] Cycle 42
[2024-05-20 21:21:29,279][cycle @rv_pipelined.py:63] [Emulator] Cycle 43
[2024-05-20 21:21:29,279][cycle @rv_pipelined.py:63] [Emulator] Cycle 44
[2024-05-20 21:21:29,279][cycle @rv_pipelined.py:63] [Emulator] Cycle 45
[2024-05-20 21:21:29,280][cycle @rv_pipelined.py:63] [Emulator] Cycle 46
[2024-05-20 21:21:29,280][cycle @rv_pipelined.py:63] [Emulator] Cycle 47
[2024-05-20 21:21:29,281][cycle @rv_pipelined.py:63] [Emulator] Cycle 48
[2024-05-20 21:21:29,281][cycle @rv_pipelined.py:63] [Emulator] Cycle 49
[2024-05-20 21:21:29,281][cycle @rv_pipelined.py:63] [Emulator] Cycle 50
[2024-05-20 21:21:29,281][cycle @rv_pipelined.py:63] [Emulator] Cycle 51
[2024-05-20 21:21:29,282][cycle @rv_pipelined.py:63] [Emulator] Cycle 52
[2024-05-20 21:21:29,282][cycle @rv_pipelined.py:63] [Emulator] Cycle 53
[2024-05-20 21:21:29,282][cycle @rv_pipelined.py:63] [Emulator] Cycle 54
[2024-05-20 21:21:29,283][cycle @rv_pipelined.py:63] [Emulator] Cycle 55
[2024-05-20 21:21:29,283][cycle @rv_pipelined.py:63] [Emulator] Cycle 56
[2024-05-20 21:21:29,283][cycle @rv_pipelined.py:63] [Emulator] Cycle 57
[2024-05-20 21:21:29,283][cycle @rv_pipelined.py:63] [Emulator] Cycle 58
[2024-05-20 21:21:29,284][cycle @rv_pipelined.py:63] [Emulator] Cycle 59
[2024-05-20 21:21:29,284][cycle @rv_pipelined.py:63] [Emulator] Cycle 60
[2024-05-20 21:21:29,284][cycle @rv_pipelined.py:63] [Emulator] Cycle 61
[2024-05-20 21:21:29,284][cycle @rv_pipelined.py:63] [Emulator] Cycle 62
[2024-05-20 21:21:29,285][cycle @rv_pipelined.py:63] [Emulator] Cycle 63
[2024-05-20 21:21:29,285][cycle @rv_pipelined.py:63] [Emulator] Cycle 64
[2024-05-20 21:21:29,286][cycle @rv_pipelined.py:63] [Emulator] Cycle 65
[2024-05-20 21:21:29,286][cycle @rv_pipelined.py:63] [Emulator] Cycle 66
[2024-05-20 21:21:29,286][cycle @rv_pipelined.py:63] [Emulator] Cycle 67
[2024-05-20 21:21:29,287][cycle @rv_pipelined.py:63] [Emulator] Cycle 68
[2024-05-20 21:21:29,288][cycle @rv_pipelined.py:63] [Emulator] Cycle 69
[2024-05-20 21:21:29,288][cycle @rv_pipelined.py:63] [Emulator] Cycle 70
[2024-05-20 21:21:29,289][cycle @rv_pipelined.py:63] [Emulator] Cycle 71
[2024-05-20 21:21:29,289][cycle @rv_pipelined.py:63] [Emulator] Cycle 72
[2024-05-20 21:21:29,289][cycle @rv_pipelined.py:63] [Emulator] Cycle 73
[2024-05-20 21:21:29,290][cycle @rv_pipelined.py:63] [Emulator] Cycle 74
[2024-05-20 21:21:29,290][cycle @rv_pipelined.py:63] [Emulator] Cycle 75
[2024-05-20 21:21:29,290][cycle @rv_pipelined.py:63] [Emulator] Cycle 76
[2024-05-20 21:21:29,290][cycle @rv_pipelined.py:63] [Emulator] Cycle 77
[2024-05-20 21:21:29,291][cycle @rv_pipelined.py:63] [Emulator] Cycle 78
[2024-05-20 21:21:29,291][cycle @rv_pipelined.py:63] [Emulator] Cycle 79
[2024-05-20 21:21:29,291][cycle @rv_pipelined.py:63] [Emulator] Cycle 80
[2024-05-20 21:21:29,292][cycle @rv_pipelined.py:63] [Emulator] Cycle 81
[2024-05-20 21:21:29,292][cycle @rv_pipelined.py:63] [Emulator] Cycle 82
[2024-05-20 21:21:29,292][cycle @rv_pipelined.py:63] [Emulator] Cycle 83
[2024-05-20 21:21:29,292][cycle @rv_pipelined.py:63] [Emulator] Cycle 84
[2024-05-20 21:21:29,293][cycle @rv_pipelined.py:63] [Emulator] Cycle 85
